Time_minutes Average_cpu_utilization Powerdraw_kJ cpu_demand cpu_usage cpu_idle_time
8415 0.06548204542094518 185.6307929007411 60348.253059943076 60348.253059943076 27946
8420 0.06372282753763023 185.12551220032572 58726.95785868002 58726.95785868002 28070
8425 0.061615226345156655 184.4053097960204 56784.59259969638 56784.59259969638 28247
8430 0.06132034231071093 184.2000011834502 56512.82747355119 56512.82747355119 28298
8435 0.06377885178599102 184.90830420829354 58778.58980596931 58778.58980596931 28124
8440 0.0653172411619466 185.49995390057563 60196.36945484998 60196.36945484998 27977
8445 0.0646572904265936 185.39177254517375 59588.158857148665 59588.158857148665 28005
8450 0.06540281696850339 185.5745191130787 60275.23611817272 60275.23611817272 27959
8455 0.06497412343796155 185.48999325697125 59880.15216042536 59880.15216042536 27981
8460 0.06432222680718531 185.2737128868252 59279.364225501995 59279.364225501995 28033
8465 0.064707869133397 185.35080394157768 59634.77219333868 59634.77219333868 28015
8470 0.06515045152988498 185.50295254176856 60042.656129942 60042.656129942 27977
8475 0.06340456359549701 185.01305293110013 58433.64580961004 58433.64580961004 28098
8480 0.06142818391916089 184.33228835061192 56612.214299898675 56612.214299898675 28265
8485 0.06160215961935039 184.27258734752238 56772.55030519331 56772.55030519331 28280
8490 0.062352428414152866 184.50356640003622 57463.998026483285 57463.998026483285 28223
8495 0.06742679243938807 186.01501726959646 62140.531912140046 62140.531912140046 27864
8500 0.06606881659455219 185.9414178609848 60889.0213735393 60889.0213735393 27872
8505 0.06555250879846863 185.69853111828863 60413.19210866869 60413.19210866869 27929
8510 0.06765407539257742 186.37531708812713 62349.995881799354 62349.995881799354 27785
8515 0.06540304224881194 185.7629404385686 60275.44373650508 60275.44373650508 27917
8520 0.06409549072951974 185.23248070448636 59070.40425632539 59070.40425632539 28044
8525 0.06544776776015482 185.55463885948063 60316.66276775868 60316.66276775868 27964
8530 0.06172165892636434 184.5379244621545 56882.680866537376 56882.680866537376 28215
8535 0.06070394791144894 184.02543228012323 55944.75839519134 55944.75839519134 28341
8540 0.061003807505440544 184.05514513304828 56221.10899701401 56221.10899701401 28333
8545 0.062016929310553436 184.3698587295562 57154.80205260604 57154.80205260604 28256
8550 0.06419292994593458 185.0669657486677 59160.204238173304 59160.204238173304 28085
8555 0.06454092757840138 185.29391446858645 59480.91885625471 59480.91885625471 28028
